,Area.km2,Perimeter.km,abiotic_plant,zoo_plant,total.plant,kgc.variety,phz_variety,elevation.mean,elevation.range,precipitation.mean,precipitation.range,soil_variety,near_length,number_near,mass_effect,native.total.bird,native.total.reptile,native.total.frugivore,total_bird_mass,total_reptile_mass,total_frugivore_mass,min_temp_range,min_temp_mean,Centroid_X,Centroid_Y,abiotic_plant_2,zoo_plant_2,total.plant_2,max_temp_mean,log_Area,log_kgc_var,log_soil_var
total_frugivore_mass,0.306599341,0.321896832,0.500873061,0.472491941,0.488921063,0.261756543,0.406345328,0.173683753,0.271889445,0.048321169,0.441559282,0.420850901,0.028709329,-0.071455091,0.010872007,0.502212467,0.533652546,0.574873367,0.545966603,0.995439357,1,0.312582331,0.25871067,-0.13979588,-0.000700533,-0.092721845,-0.088500381,-0.095176796,0.068806547,0.388947376,0.163514177,0.361586778
min_temp_range,0.64303436,0.593126649,0.800134164,0.837440433,0.81873374,0.722689172,0.683885819,0.878158173,0.978636963,0.492105822,0.856908341,0.827049248,0.160138454,-0.015279655,0.015318221,0.722120709,0.766956704,0.81048768,0.74148689,0.246159783,0.312582331,1,0.177695876,0.29190509,-0.378535093,-0.065916899,-0.009498572,-0.047498205,-0.555685722,0.72280964,0.604797727,0.804709098
min_temp_mean,0.188572343,0.243100886,0.174727775,0.170189014,0.173003823,0.152988143,0.208262747,0.111652672,0.140688999,0.122009137,0.257067341,0.265813903,-0.069457,0.066986154,-0.058898398,0.224151757,0.181559672,0.235046519,0.282337929,0.241465579,0.25871067,0.177695876,1,-0.074285526,-0.011762178,-0.051104459,-0.100338154,-0.071938437,0.055877569,0.27746273,0.103490689,0.304596861
Centroid_X,-0.065129051,-0.116509158,0.206637803,0.21060154,0.20885489,0.250526059,-0.192003783,0.518390847,0.400873663,0.292631844,0.171415288,0.124798014,0.111080878,-0.120226164,-0.071701629,0.210834472,0.099506933,0.192824442,0.224533314,-0.173415275,-0.13979588,0.29190509,-0.074285526,1,-0.80949514,0.137718208,0.111653329,0.133866745,-0.715026774,0.101337297,0.394150557,0.25787634
Centroid_Y,-0.010502717,0.051540204,-0.214403022,-0.22538233,-0.219835163,-0.241216296,0.042813687,-0.598170528,-0.481495606,-0.502218551,-0.277435752,-0.237605074,-0.143520035,0.196438175,-0.042953808,-0.248297113,-0.13180547,-0.236927081,-0.268776811,0.029863249,-0.000700533,-0.378535093,-0.011762178,-0.80949514,1,-0.154858446,-0.144367213,-0.157636107,0.602984757,-0.102993192,-0.340593822,-0.371651725
abiotic_plant_2,-0.048246188,-0.064845298,-0.078978851,-0.083886008,-0.081373353,-0.039851043,-0.029307875,-0.04216606,-0.053234852,-0.052861114,-0.113695728,-0.110732736,0.024861304,0.081537064,-0.020188717,-0.094036049,-0.031918421,-0.048160474,-0.069938207,-0.090099661,-0.092721845,-0.065916899,-0.051104459,0.137718208,-0.154858446,1,0.821133398,0.976448966,-0.061158125,-0.139268312,-0.017573345,-0.110405546
zoo_plant_2,0.002888082,-0.006864614,-0.032324448,-0.033031993,-0.032711173,-0.010762945,0.024105846,-0.038447241,-0.014597957,-0.029051325,-0.081611396,-0.067022268,-0.00395059,0.106442078,-0.012100807,-0.024563969,0.030393668,0.025568895,0.017675026,-0.095611054,-0.088500381,-0.009498572,-0.100338154,0.111653329,-0.144367213,0.821133398,1,0.924930182,-0.06418929,-0.061408835,-0.007426782,-0.072469722
total.plant_2,-0.031038437,-0.045779109,-0.064825815,-0.068360013,-0.066566102,-0.030654423,-0.010394307,-0.042641412,-0.040980226,-0.046236113,-0.106601144,-0.099078395,0.01488803,0.094608785,-0.018007892,-0.071916266,-0.00975007,-0.022402441,-0.039886916,-0.096117806,-0.095176796,-0.047498205,-0.071938437,0.133866745,-0.157636107,0.976448966,0.924930182,1,-0.064947002,-0.116001259,-0.014568799,-0.100916365
max_temp_mean,-0.043754265,-0.010376894,-0.302264589,-0.322522739,-0.312102672,-0.292562269,-0.036045399,-0.703406583,-0.643634072,-0.497064774,-0.344369941,-0.281849402,-0.209188392,0.016486526,0.17253792,-0.360579759,-0.176601848,-0.317681069,-0.369623535,0.114857185,0.068806547,-0.555685722,0.055877569,-0.715026774,0.602984757,-0.061158125,-0.06418929,-0.064947002,1,-0.203673167,-0.372910781,-0.402987669
log_Area,0.591857886,0.665709243,0.684349848,0.693662863,0.689952875,0.595189325,0.652285439,0.511181622,0.642538452,0.278083011,0.751147691,0.727109429,0.100435195,-0.025224976,0.072220673,0.67718182,0.663295961,0.738682492,0.713175474,0.330147544,0.388947376,0.72280964,0.27746273,0.101337297,-0.102993192,-0.139268312,-0.061408835,-0.116001259,-0.203673167,1,0.48665797,0.719658362
log_kgc_var,0.511674382,0.484363861,0.660843733,0.648735841,0.656630518,0.936042557,0.43959236,0.542297216,0.631810346,0.270205127,0.607749751,0.503402164,0.107983519,-0.025074187,0.106646627,0.5250568,0.556185269,0.551338376,0.454872074,0.121139725,0.163514177,0.604797727,0.103490689,0.394150557,-0.340593822,-0.017573345,-0.007426782,-0.014568799,-0.372910781,0.48665797,1,0.422105253
log_soil_var,0.611333923,0.598733682,0.748755605,0.769332563,0.759623482,0.559959251,0.584041869,0.680766433,0.78528104,0.52539305,0.833093449,0.930826754,0.092228494,-0.023459258,0.064146518,0.676057456,0.631057112,0.717176579,0.716762961,0.300802337,0.361586778,0.804709098,0.304596861,0.25787634,-0.371651725,-0.110405546,-0.072469722,-0.100916365,-0.402987669,0.719658362,0.422105253,1
